PartNumber,Description,ItemStatus,SalesUnit,Authorization,PriceGroup,PriceGroupDescription,ProductLifeCycleManagement,ItemClass
VOLTA55A                      ,"55"" VOLTA XTREME HIGH BRIGHT OUTDOOR DISPLAY",Active,EA,,ET DD,ET Dealer / Distributor Pricing,,VLTA STAND               
LCT100S                       ,"Desktop Monitor Mount For up to 38"" Monitors",Active,EA,False,CORE,Mounts,Active,FPSS STANDETAIL          
941-11001                     ,11GA TUBE ROUND DOM 1.562 OD X 204.000 to 288.000,Active,FT,,PRO,Professional Sales Price Group,,TBNG                     
521-0684                      ,"M6 X 12MM SKT PIN 18-8 SS, Blk Ox",Active,EA,,PRO,Professional Sales Price Group,,FAST                HW   
520-0878                      ,"SCREW, M6 X 16MM PHIL FLT, 18-8 SS",Active,EA,,PRO,Professional Sales Price Group,,FAST                HW   
590-1209                      ,"BUTTON BUMPER, 3169-003",Active,EA,,PRO,Professional Sales Price Group,,PP                  MISC 
560-0400                      ,"PEM SELFCLNCH M6x1 NUT,  SS  CLS-M6-1 from McMaster Carr",Active,EA,,KIOSK,Kiosks,,FAST                NUT  
561-0066                      ,PEM STUD M6X30MM,Active,EA,,KIOSK,Kiosks,,PP                  MISC 
FMAL                          ,FM 600X400 Articulating Wall Mount,Active,EA,,CONS,Consumer,Active,FPSS STANDETAIL          
FMAM                          ,FM 400X400 Articulating Wall Mount,Active,EA,,CONS,Consumer,Active,FPSS STANDETAIL          
FMAS                          ,FM 100x100 Articulating Wall Mount,Active,EA,,CONS,Consumer,Active,FPSS STANDETAIL          
FMFL                          ,FM 600X400 Flat Wall Mount,Active,EA,,CONS,Consumer,Active,FPSS STANDETAIL          
FMTL                          ,FM 600x400 Tilt Mount,Active,EA,,CONS,Consumer,Active,FPSS STANDETAIL          
FMTM                          ,FM 400X400 Tilt Wall Mount,Active,EA,,CONS,Consumer,Active,FPSS STANDETAIL          
009-0001                      ,BACK PLATE,Active,EA,,PRO,Professional Sales Price Group,,FAB                 LASER
009-0020                      ,FAB CLAMP FOR PLASMA CRT TRAY,Active,EA,,PRO,Professional Sales Price Group,,FAB                 LASER
009-0193                      ,TOP SHELF FOR JCT-P2854E,Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-0200                      ,BACK PANEL FOR JCT-P2854CE,Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-0201                      ,SIDE PANEL FOR JCT-P2854CE,Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-0202                      ,DOOR PANEL FOR JCT-P2854CE,Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-0203                      ,GROOVED LEG FOR JCT-P2642CE,Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-0204                      ,BACK PANEL FOR JCT-P2642CE,Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-0205                      ,SIDE PANEL FOR JCT-P2642CE,Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-0206                      ,DOOR PANEL FOR JCT-P2642CE,Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-0207                      ,TOP SHELF FOR JCT-P2642CE,Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-0208                      ,MIDDLE SHELF FOR JCT-P2642CE,Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-0209                      ,BOTTOM SHELF FOR JCT-P2642CE,Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-0210                      ,"16 1/2"" LEG FOR JCT-P2642CE",Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-0211                      ,"18 1/2"" LEG FOR JCT-P1642E",Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-0212                      ,"8 1/2"" LEG FOR JCT-P1642E",Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-1020                      ,PNTD CLAMP FOR PLASMA CRT TRAY,Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
009-1037                      ,"UPPER SHELF FOR AV-P97 CART,BLK",Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-1038                      ,"LOWER SHELF FOR AV-P97 CART,BLK",Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-1040                      ,"LOWER SHELF FOR AV-P137 CART,BLK",Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-1042                      ,"LEG ""X"" FOR AV-T112 CART,BLK",Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-1045                      ,"RUBBER MATT FOR AV-P97/137 CART,BLK",Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-1168                      ,CORD WRAP FOR PLASTIC CARTS,Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-8025                      ,FASTPACK FOR JCT-2642E,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
017-1019                      ,"SUPPORT ARM 15.5"" ASSY,BLK,#14",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
017-8007                      ,FAST PACK PWA-14,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
017-8008                      ,FAST PACK PWA-14S,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
017-8009                      ,FAST PACK PWA-14W,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
046-8005-1                    ,"FASTPACK, 4 LP WOOD SCREW & ANCHORS",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
046-8006-1                    ,"FASTPACK, 6 LP WOOD SCREW & ANCHORS",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
054-8045-2                    ,FAST PACK FOR ACC570S/W,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
055-0016                      ,"PJF BASE UNIT ASSY-2, SILVER",Inactive,EA,,PRO,Professional Sales Price Group,,FAB                      
055-0469                      ,"FAB, ADPR PLATE FOR PAP/PJC/PJF-227",Active,EA,,PRO,Professional Sales Price Group,,FAB                 LASER
055-0516                      ,COLUMN BRKT,Active,EA,,PRO,Professional Sales Price Group,,FAB                 PUNCH
055-0517                      ,COLUMN TUBE LONG,Active,EA,,PRO,Professional Sales Price Group,,FAB                 TUBE 
055-0589                      ,"CHANNEL BRACKET, UNV, GEN II",No Request,EA,,PRO,Professional Sales Price Group,,FAB                 PUNCH
055-0694                      ,"ASSY, POLE CLAMPS, UNV PRJ CAGE,BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
055-0696                      ,"ASSY, POLE CLAMPS, UNV PRJ CAGE,WHT",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
055-1174                      ,"SUPPORT BRKT FOR ANTI-VIB, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
055-1516                      ,"COLUMN BRKT, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
055-1520                      ,"COLUMN SHORT TUBE ASSY, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
055-1521                      ,"COLUMN LONG TUBE ASSY, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
055-1551                      ,"TILTING BRKT, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
055-1589                      ,"CHANNEL BRACKET, UNV, GEN II, ZB",No Request,EA,,PRO,Professional Sales Price Group,,FAB                      
055-1657                      ,"ADPR PLT FOR PAP/PRS/PJF2-270, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
055-1866                      ,"PROJECTOR PLATE, UNV, GEN III, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
055-1867                      ,"SEC G3 UNV PRJ PLT ASY, BLK",Active,EA,,PRO,Professional Sales Price Group,Use Up,PPA                      
055-1884                      ,"SEC G3 UNV PRJ CHANNEL ASSY, BLK",No Request,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
055-1938                      ,"SEC UNIV PROJ PLT ASSY W/CONN., BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
055-2690                      ,"ASSY, PAN, UNV PRJ CAGE, WHT",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
055-2867                      ,"SEC G3 UNV PRJ PLT ASY, WHT",Active,EA,,PRO,Professional Sales Price Group,,PPA                      
055-2884                      ,"SEC G3 UNV PRJ CHANNEL ASSY, WHT",Inactive,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
055-2930                      ,"CHANNEL, UNV, GEN III, WHT",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
055-4589                      ,"CHANNEL BRACKET, UNV, GEN II, ZC",Inactive,EA,,PRO,Professional Sales Price Group,,FAB                      
055-4867                      ,"SEC G3 UNV PRJ PLT ASY, SLV",Inactive,EA,,PRO,Professional Sales Price Group,,PPA                      
055-4930                      ,"CHANNEL, UNV, GEN III, SLV",Inactive,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
055-8004                      ,"FAST PACK, ACC840",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
055-8005                      ,"FAST PACK, ACC845",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
055-8269                      ,FASTPACK FOR SECURITY CMJ500,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
055-8270                      ,FAST PACK FOR ACC913,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
055-8271                      ,FAST PACK FOR ACC912,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
055-8283-1                    ,FASTPACK FOR LCC-18/36 EXPRS ANCH,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
055-8284                      ,"FASTPACK FOR VESA 75/100, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
055-8285-1                    ,FASTPACK FOR LCC-18/36(-C),Active,EA,,PRO,Professional Sales Price Group,,FAST                     
055-8322-S                    ,"FASTPACK FOR PROJ. 269, SLV",Inactive,EA,,PRO,Professional Sales Price Group,,FAST                     
055-8328                      ,"FASTPACK FOR UNV PJR GAGE, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
055-8328-S                    ,"FASTPACK FOR UNV PJR GAGE, SLV",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
055-8334                      ,FASTPACK FOR MIS347,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
080000276                     ,"Kit, MIS419 Speaker Brackt Retrofit",Active,EA,,PRO,Professional Sales Price Group,Active,FPSS STAND               
080000277                     ,"Bracket, Endcap TV Locking (Left)",Active,EA,,PRO,Professional Sales Price Group,Active,FPSS STAND               
080000278                     ,"Bracket, Endcap TV Locking (Right)",Active,EA,,PRO,Professional Sales Price Group,Active,FPSS STAND               
081-0029                      ,VCR ADAPTER FOR VPM40-L,Active,EA,,PRO,Professional Sales Price Group,,FAB                 LASER
081-1050                      ,"VERT ADJUSTER 4.25"" BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
081-1051                      ,"VERT ADJUSTER 2.69"" I.D., BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
081-1052                      ,"HORIZONTAL ADJUSTER, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
081-1053                      ,"HORZ CROSS SUPPORT 13.25"", BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
081-1062                      ,"1.5"" VERT ANCHOR, BLK",Active,EA,,PRO,Professional Sales Price Group,,PP                       
081-2051                      ,"VERT ADJUSTER 2.69"" I.D., WHT",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
081-2052                      ,"HORIZONTAL ADJUSTER, WHT",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
083-8011                      ,"FAST PACK, FOR PS200",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
087-8019                      ,FAST PACK MSA-101,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
090-0544                      ,BASE BACKER PLATE SQ MTG PATTERN,Active,EA,,PRO,Professional Sales Price Group,,FAB                 LASER
090-0642                      ,"RIGHT VERT. BRKT., FDS-V6X4-LG/PHIL",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PRESS
090-0643                      ,"LEFT VERT. BRKT., FDS-V6X4-LG/PHIL",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PRESS
090-0821                      ,DESKTOP SWIVEL BASE SQ MTG PTN CAST,Active,EA,,PRO,Professional Sales Price Group,,PP                       
090-1372                      ,"FAB, CAM LOCK FOR FDS-3250-K, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
090-1544                      ,"BASE BACKER PLT SQ MTG PATTERN, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
090-1552                      ,"ADAPTER PLATE WELDMENT, HD-UNV, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
090-1783-1                    ,"SPRT TUBE ASSM 21.75"", BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
090-1787                      ,"ROT. BOX - FDS-3250-K, NEW, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
090-1817                      ,"ROTATION BOX WLDMNT - FDS-3250, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
090-1899                      ,"ADAPTER PLT RIVT ASSY MIS672-FDS,BL",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
090-1904                      ,"RIGHT VERT. ASSY, MIS671/672, BL",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
090-1905                      ,"LEFT VERT. ASSY, MIS671/672, BL",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
090-8040-3                    ,FAST PACK FOR HP450 W/ WASH,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
090-8325                      ,FAST PACK FOR MIS671-HP,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
090-8328                      ,FAST PACK 2 FOR HLG452-PH-Q10,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
092-8001                      ,"FAST PACK, ACC120",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
095-0140                      ,"RTLT-100, TILT BRKT, FAB",Active,EA,,PRO,Professional Sales Price Group,,FAB                 COMBO
095-0141                      ,"RTLF-100, WALL BRKT, FAB",Active,EA,,PRO,Professional Sales Price Group,,FAB                 LASER
095-0320                      ,"WALL PLATE, SF630/635",Active,EA,,PRO,Professional Sales Price Group,,FAB                      
095-0321                      ,"HOOK BRKT, SF630/635",Active,EA,,PRO,Professional Sales Price Group,,PP                       
095-1509                      ,"TILT PLATE WELDMENT, CNN MOUNT, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
095-1747                      ,"WALL PLATE COVER, DBL STUD",Active,EA,,PRO,Professional Sales Price Group,,PPA                      
095-1748                      ,"COVER, WALL PLATE",Active,EA,,PRO,Professional Sales Price Group,,PPA                      
095-4652                      ,"WALL BRACKET SMART BOARD, SLV",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
095-8102                      ,FASTPACK (4) M5X10MM TYPE-F PHL BLK,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
095-8188                      ,FASTPACK FOR LC-100,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
095-8352-1                    ,FASTPACK FOR PF632,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
095-8355                      ,"FAST PACK FOR IM760P, IM760PU, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
095-8356                      ,"SCRN SIDE FP IM760PU, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
095-8360                      ,"FAST PACK FOR IB40, IM740",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
095-8381                      ,"FASTPACK, 4 WOOD SCREWS",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
095-P1517                     ,"TRIM, OUTER RING ,GBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
100-1007                      ,"PAINTED CEILING PLATE 4"" X 4""",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
100-1008                      ,"PNT CEILING PLATE 8"" X 8""",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
103-0017                      ,"FAB, LOCK PLATE",Active,EA,,PRO,Professional Sales Price Group,,FAB                 COMBO
103-1001                      ,"JUMBO SHELF VCR BRACKET, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
1182-701                      ,CTN MAILER 12.25 X 9.5 X 2.5,Active,EA,,PRO,Professional Sales Price Group,,CARTN               BOXES
1184-701                      ,CTN 12.25 X 9.625 X 4 FOR S-276,Active,EA,,PRO,Professional Sales Price Group,,CARTN               BOXES
120-8080                      ,FAST PACK FOR ACC170,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
1235-502                      ,FAST PACK FOR LDM233K,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
124-1062                      ,"BACK LOCKDOWN BRKT FOR MIS208, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
124-8011                      ,"DVD-P1, FST PK",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
124-8746                      ,FAST PACK FOR FLD-UNV,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
124-8835                      ,FASTPACK FOR 49-5672-20,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
125-1006                      ,"ADAPTER BRACKET FOR DMU50SM, BLK",Active,EA,,HOSP,Hospitality,,FAB                 PAINT
125-1021                      ,"BASE RIGHT HAND FOR 49-5672-20, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
125-1025                      ,"ADPTER BOX FOR 49-5672-20, WLD, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
128-0026                      ,"LEFT END SPRT TRAY,14""",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PUNCH
128-0027                      ,"RIGHT SPRT TRAY,14"" W/LOGO HOLES",Active,EA,,XGPREFAB,XGPREFAB,,FAB                 PUNCH
128-0069                      ,"WALL ARM 22.5"" ASSY JUMBO, WLD",Active,EA,,PRO,Professional Sales Price Group,,FAB                 WELD 
128-0419                      ,STRUCTURAL CLNG DECOUPLER,Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
128-1026                      ,"LEFT END SPRT TRAY, 14"" BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
128-1027                      ,"RIGHT END SPRT TRAY, 14""",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
128-1029                      ,"EXT COLUMN STABILIZER BRKT, BLACK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
128-1039                      ,"TAPERED CEILING BRACKET, BLACK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
128-1059                      ,"WALL ARM 18"" ASSY BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
128-1069                      ,"WALL ARM 22.5"" ASSY, BLACK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
128-1086                      ,"PAINTED CEILING BRKT ASSY,20""",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
128-1087                      ,"PAINTED CEILING BRKT ASSY,24""",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
128-1141                      ,BLK ADP DCPLR TRUS CELNG BRKT WLD,Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
128-1189                      ,CLAMPS FOR I-BEAM,Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
128-1194                      ,PNTD CLAMPS FOR DCT500,Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
128-1205                      ,"PNTD,, 2"" I-BEAM CLAMP",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
128-1273                      ,PNTD CLAMPS FOR DCT900,Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
128-2039                      ,"TAPERED CLNG BRACKET, WHITE",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
128-8002                      ,FAST PACK - 3 WOOD SCREW/BSHG,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
128-8003                      ,FAST PACK-4 WOOD SCREW/BSHG,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
128-8020-1                    ,FASTPACK I-BEAM ADP SM & LG,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
128-8021                      ,FASTPACK FOR I-BEAM HEAVY DUTY,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
128-8104                      ,FAST PACK FOR 2-PCS SUSP.CLNG,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
128-8105                      ,FAST PACK FOR CMJ455,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
128-8111                      ,FAST PACK FOR ACC600,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
130-0088                      ,"J- BOX WELDMENT, PIC-NGTV-04",Active,EA,,PRO,Professional Sales Price Group,,FAB                 WELD 
130-0089                      ,"BASE WELDMENT, PIC-NGTV-04",Active,EA,,PRO,Professional Sales Price Group,,FAB                 WELD 
130-1070                      ,"J- BOX WELDMENT, PIC-NGTV-05, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
130-8012                      ,"FAST PACK, FOR CABLE ASSY",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
130-T1383                     ,"COVER LATCH PLATE, DSI-CM-46PH,TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
130-T1384                     ,"SPEAKER PLATE, DSI-CM-46PH, TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
130-T1386                     ,"CABLE COVER, DSI-CM-46, TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
130-T1392                     ,"COVER LATCH PLATE, DSI-CM-57PL,TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
130-T1395                     ,"SPKR PLT,DSI-CM-57PL, TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
139-1015                      ,"DUAL CROSS SUPPORT 44""ASSY,BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
139-1083                      ,"SUPPORT PIPE 4"", BLACK w/NOTCHES",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
139-8004                      ,FASTPACK FOR PLCM-2,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
140-1019                      ,"YAW LOCK BRACKET, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
1418-001A                     ,"ESCUTCHEON PLATE FOR 1.9"" OD",Active,EA,,PRO,Professional Sales Price Group,,PP                       
142-1001                      ,"PNTD,ALIGNMENT PLATE BLACK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
142-1002                      ,"PNTD, ATTACHMENT PLATE BLACK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
142-8001                      ,FAST PACK FOR UNI-STRUT ADAPT,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
142-8002                      ,FAST PACK FOR DCT300,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
142-8003                      ,"FAST PACK, CONCRETE",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
1445-701B                     ,"CAPS FOR TUBE CARTON 2.5""",Active,EA,,PRO,Professional Sales Price Group,,CARTN               INSRT
1450-203                      ,"TRAY STIFFNER,LRG",Active,EA,,XGPREFAB,XGPREFAB,,FAB                 PUNCH
1450-204                      ,"TRAY STIFFNER,SMALL",Active,EA,,XGPREFAB,XGPREFAB,,FAB                 PUNCH
1450-517                      ,"STRND WIRE,1/8DIAK 10FT #7/7",Active,EA,,PRO,Professional Sales Price Group,,FAB                      
1450-518                      ,"CLAMP, 1/4 CABLE",Active,EA,,PRO,Professional Sales Price Group,,PP                       
1450-522                      ,WIRE 12GA SOFT GALVANIZED,Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYF
1455-406                      ,FALSE CLNG ADAPTER,Active,EA,,XGPREFAB,XGPREFAB,,FAB                 PUNCH
1455-476W                     ,SUSPENDED CEILING TRAY 2'X2' WHT,Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
1465-273                      ,"UPPER CLNG ADAPTOR, WHT",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
1465-505                      ,FAST PACK FOR TRUSS CELIING ADAPTER,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
154-0004                      ,"ADJ TUBE 36.5"" LONG",Active,EA,,PRO,Professional Sales Price Group,,FAB                 WELD 
154-0011                      ,ADJ CLNG EXT ASSY,Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
154-0013                      ,ADJ CLNG EXT ASSY ADD1012,Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
154-1001                      ,"ADJ TUBE 21"" W/8 ADJ HOLES BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
154-1002                      ,"ADJ TUBE 35.5"" W/14 ADJ HOLES BLACK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
154-1004                      ,"ADJ TUBE 36.5"" LONG BLACK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
154-1034                      ,"PNTD EXTENSIN PIPE 15""",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
154-8007                      ,FASTPACK FOR ADD%,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
170-8039-1                    ,"FASTPACK FOR SAFETY BELT SET, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
1800-375                      ,"RETAINING COLLAR, BLACK FINISH",Active,EA,,PRO,Professional Sales Price Group,,PP                  MISC 
1PM-99TD01P                   ,"BLACK BELT F/PM600 7' 3/4""W/BUCKLE",Active,EA,,PRO,Professional Sales Price Group,,FAST                MISC 
200-0351                      ,"NEC 61"", HORTL+MID ASSEMBLY",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
200-0552                      ,PLASMA/LCD TILT BRKT W/ LOGO HOLES,Active,EA,,PRO,Professional Sales Price Group,,FAB                 PUNCH
200-1289                      ,"ADPR BRKT - V200, TOP PLATE, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
200-1305                      ,"PLASMA VIDEO CONF. SHELF-ACC309,BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
200-1306                      ,"SHELF BRACKET - ACC309, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
200-1552                      ,"PLASMA/LCD TILT BRKT W/ LOGO, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
200-1862                      ,"WALL PLATE FOR FPS MOUNT, WLD, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
200-1871                      ,"TEAR DROP LOCKING TAB, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
200-8004A-2                   ,FASTPACK FOR PLP-NEC LCD 4000,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
200-8125-3                    ,FAST PACK FOR PLP NEC42,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
200-8195                      ,FAST PACK - ACC309,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
200-8203                      ,"FASTPACK, (PLB) STANDARD PLASMA",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
200-8337A                     ,FASTPACK FOR PLP-CR40 W/ WRENCH,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
200-8359                      ,"FASTPACK FOR PLP-V100, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
200-8405-2                    ,"FASTPACK, LARGE SCREEN-SIDE NON-SEC",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
200-8508                      ,FASTPACK FOR PLP% - 4 X M5*10MM,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
200-8512                      ,"FASTPACK FOR PL, PLC, PLP SH65",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
200-8529-1                    ,FASTPACK FOR FPZ-401,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
